event_id,soft_id,soft_peak,class_solexs,class_goes,soft_peak_counts,soft_sig,hard_id,hard_peak,hard_peak_counts,hard_sig,coincidence,neupert_lead_s,nonthermal_peak_counts,hardness_ratio,confidence
EVT-0029,SLX-0029,2024-09-12 17:31:48,C8.3,C8.0,405.0,8.784943989839743,HLS-0080,2024-09-12 17:25:20,127.0,20.4,True,,5.0,0.17647058823529413,DUAL-CONFIRMED
EVT-0030,SLX-0030,2024-09-12 18:31:42,C8.0,C7.3,387.0,15.34824138813674,HLS-0082,2024-09-12 18:31:00,294.0,108.47580375364821,True,,7.0,0.03333333333333333,DUAL-CONFIRMED
EVT-0031,SLX-0031,2024-09-12 18:58:17,C9.8,C9.6,491.0,13.32736602578263,HLS-0085,2024-09-12 19:04:30,192.0,26.0,True,,7.0,0.06451612903225806,DUAL-CONFIRMED
EVT-0032,SLX-0032,2024-09-12 20:13:20,C6.2,C6.5,288.0,6.380040304395754,HLS-0087,2024-09-12 20:10:00,227.0,83.15218406202999,True,,6.0,0.01639344262295082,DUAL-CONFIRMED
EVT-0033,SLX-0033,2024-09-12 21:10:22,C8.7,C8.9,428.0,12.75847264913102,,,,,False,,5.0,0.02531645569620253,SOFT-ONLY
EVT-0034,SLX-0034,2024-09-12 22:26:29,M2.2,M2.1,1297.0,16.747831228477587,,,,,False,,6.0,0.0035335689045936395,SOFT-ONLY
EVT-0035,SLX-0035,2024-09-13 00:56:11,M1.6,M1.4,860.0,15.053281347191293,HLS-0096,2024-09-13 00:52:10,294.0,37.68891807222045,True,,6.0,0.0,DUAL-CONFIRMED
EVT-0036,SLX-0036,2024-09-13 01:36:38,M1.8,M1.6,1022.0,25.636921582977703,HLS-0097,2024-09-13 01:36:10,1444.0,258.1598987707683,True,,7.0,0.003468208092485549,DUAL-CONFIRMED
EVT-0037,SLX-0037,2024-09-13 02:41:04,M1.4,M1.3,764.0,7.688495941806214,HLS-0099,2024-09-13 02:36:40,281.0,40.11335290250718,True,,6.0,0.05263157894736842,DUAL-CONFIRMED
EVT-0038,SLX-0038,2024-09-13 04:40:39,M2.2,M2.1,1247.0,11.342278110118476,HLS-0104,2024-09-13 04:38:10,297.0,26.688726751068895,True,,5.0,0.01675977653631285,DUAL-CONFIRMED
