time,sharp_usflux_max,sharp_usflux_sum,sharp_totusjh_max,sharp_totusjh_sum,sharp_totpot_max,sharp_totpot_sum,sharp_meanpot_max,sharp_meanpot_sum,sharp_savncpp_max,sharp_savncpp_sum,sharp_meanshr_max,sharp_meanshr_sum,sharp_shrgt45_max,sharp_shrgt45_sum,sharp_r_value_max,sharp_r_value_sum,sharp_area_acr_max,sharp_area_acr_sum,sharp_n_ar
2024-06-05 23:59:23,6.296079e+22,1.6632778646e+23,4716.469,10449.646,6.233062e+23,1.67857324781e+24,11609.41,57787.861300000004,36910630000000.0,75460632080000.0,50.471,449.204,58.411,222.978,4.941,37.749,3188.747559,6503.677417999999,13
2024-06-06 05:59:23,6.329043e+22,1.595074163e+23,4827.569,10641.509,6.631504e+23,1.7639016172e+24,12103.71,60314.0112,37373900000000.0,71047493320000.0,50.945,422.369,58.324,236.279,5.113,34.223,3157.219482,6464.83838,11
2024-06-06 11:59:23,7.165172e+22,1.57056427e+23,5111.215,10439.996000000001,6.792147e+23,1.784053223e+24,11409.36,58094.7612,40583000000000.0,77229495230000.0,50.033,403.834,57.02,240.09300000000002,4.82,29.011,3152.132568,6457.76177,10
2024-06-06 17:59:23,7.477293e+22,1.7059984214e+23,5120.408,10790.749,6.50534e+23,1.8119043217e+24,11868.51,59020.755,41656120000000.0,78699744407000.0,47.355,427.644,52.92,239.436,4.795,32.036,3066.188477,6992.073546,10
2024-06-06 23:59:23,7.732683e+22,1.9122348406e+23,4664.982,10878.286,6.06682e+23,1.924336215e+24,10250.95,58719.917,34612220000000.0,76576148060000.0,47.263,393.343,52.772,244.664,5.13,27.962,2784.953613,7169.207684,10
2024-06-07 05:59:23,7.973638e+22,2.0448911554e+23,4999.19,11914.854,6.90804e+23,2.0842236086999998e+24,10580.25,62285.314,33435210000000.0,76948651380000.0,45.661,440.896,50.202,232.989,5.069,31.238,2692.293945,7193.808919,10
2024-06-07 11:59:23,8.603915e+22,2.2066025443e+23,5188.136,12629.749000000002,7.70147e+23,2.1492696999e+24,9314.512,60851.7862,31995210000000.0,70842869040000.0,45.082,468.216,48.777,224.111,4.9,26.36,2689.068115,7161.14722,10
2024-06-07 17:59:23,9.15124e+22,2.3870861155e+23,5585.85,13327.721,8.578343e+23,2.2560150742e+24,10015.95,61924.988000000005,33709210000000.0,66894388920000.0,43.025,466.43,45.374,203.369,4.944,32.998,2553.669434,7315.721377,10
2024-06-07 23:59:23,9.558833e+22,2.523641213e+23,5404.461,13456.389000000001,8.462736e+23,2.3267063977e+24,10861.36,60140.32,30158680000000.0,67970771583000.0,42.282,452.025,42.946,195.111,5.196,34.906,2383.779297,7062.904856,10
2024-06-08 05:59:23,9.682136e+22,2.543920899e+23,5480.108,14023.153,8.822923e+23,2.3540769124e+24,10223.47,64229.092,33581110000000.0,72798089090000.0,41.116,469.742,40.059,189.593,5.012,33.946,2445.237061,7125.280107,10
2024-06-08 11:59:23,9.155631e+22,2.4113150886e+23,4957.264,13087.164999999999,8.288795e+23,2.22661202093e+24,8673.141,54037.6137,40253190000000.0,85769806180000.0,39.682,447.53,37.09,182.167,4.912,28.346,2475.849121,6943.963533,10
2024-06-08 17:59:23,9.62323e+22,2.50683666e+23,4883.839,12864.143,8.414495e+23,2.2562334886e+24,9186.107,59010.553,41772700000000.0,79164087742000.0,49.48,499.07,52.504,226.156,5.051,29.64,2695.670898,6958.256718,11
2024-06-08 23:59:23,9.670856e+22,2.3839100447e+23,4944.479,12007.232,8.366179e+23,2.1221785306e+24,9032.813,59065.11,38121520000000.0,72346382094000.0,44.672,490.31,43.444,191.321,4.939,29.596,2887.337891,6772.623079,10
2024-06-09 05:59:23,8.957329e+22,2.2059201632e+23,4987.349,11338.265,8.631688e+23,2.05001028713e+24,10317.73,61947.2764,48268940000000.0,73121300880000.0,39.333,471.38,36.364,171.266,4.931,24.731,2996.527588,6550.819684,10
2024-06-09 11:59:23,8.367624e+22,1.9614707227e+23,4941.036,10548.388,8.502199e+23,1.9653553795e+24,8007.699,56903.7708,49302090000000.0,79474306250000.0,36.248,477.377,31.004,170.75300000000001,4.969,22.255,3039.364502,6340.562478,10
