flare_id,payload,energy_band,start_time,peak_time,end_time,duration_seconds,peak_ctr,threshold,severity
HLS-001,HEL1OS,1.8–90 keV,2026-06-12 02:11:24,2026-06-12 02:13:15,2026-06-12 02:18:09,405.0,215.0,15.223,VERY STRONG
HLS-002,HEL1OS,1.8–90 keV,2026-06-12 02:27:57,2026-06-12 02:27:57,2026-06-12 02:27:57,0.0,18.0,15.223,VERY STRONG
HLS-003,HEL1OS,1.8–90 keV,2026-06-12 02:28:34,2026-06-12 02:31:33,2026-06-12 02:33:54,320.0,39.0,15.223,VERY STRONG
HLS-004,HEL1OS,1.8–90 keV,2026-06-12 02:34:37,2026-06-12 02:34:37,2026-06-12 02:35:01,24.0,21.0,15.223,VERY STRONG
