flare_id,payload,start_time,peak_time,end_time,duration_minutes,peak_count,background,threshold,severity
FLR-044,SoLEXS,2026-06-12 02:36:01,2026-06-12 02:36:01,2026-06-12 02:36:01,0.0,56.0,12.27,54.01,WEAK
FLR-045,SoLEXS,2026-06-12 02:36:12,2026-06-12 02:36:12,2026-06-12 02:36:12,0.0,59.0,12.27,54.01,WEAK
FLR-046,SoLEXS,2026-06-12 02:36:20,2026-06-12 02:36:20,2026-06-12 02:36:20,0.0,56.0,12.27,54.01,WEAK
FLR-047,SoLEXS,2026-06-12 02:36:50,2026-06-12 02:36:50,2026-06-12 02:36:50,0.0,56.0,12.27,54.01,WEAK
FLR-048,SoLEXS,2026-06-12 02:37:20,2026-06-12 02:37:20,2026-06-12 02:37:20,0.0,57.0,12.27,54.01,WEAK
FLR-049,SoLEXS,2026-06-12 02:37:37,2026-06-12 02:37:37,2026-06-12 02:37:37,0.0,59.0,12.27,54.01,WEAK
FLR-050,SoLEXS,2026-06-12 02:37:42,2026-06-12 02:37:42,2026-06-12 02:37:42,0.0,58.0,12.27,54.01,WEAK
FLR-051,SoLEXS,2026-06-12 02:38:09,2026-06-12 02:38:09,2026-06-12 02:38:09,0.0,55.0,12.27,54.01,WEAK
FLR-052,SoLEXS,2026-06-12 02:38:28,2026-06-12 02:38:28,2026-06-12 02:38:28,0.0,55.0,12.27,54.01,WEAK
FLR-053,SoLEXS,2026-06-12 02:38:52,2026-06-12 02:38:52,2026-06-12 02:38:52,0.0,58.0,12.27,54.01,WEAK
FLR-054,SoLEXS,2026-06-12 02:39:04,2026-06-12 02:39:04,2026-06-12 02:39:04,0.0,57.0,12.27,54.01,WEAK
FLR-055,SoLEXS,2026-06-12 02:39:55,2026-06-12 02:39:55,2026-06-12 02:39:55,0.0,55.0,12.27,54.01,WEAK
FLR-056,SoLEXS,2026-06-12 19:16:45,2026-06-12 19:16:45,2026-06-12 19:16:45,0.0,57.0,12.27,54.01,WEAK
FLR-057,SoLEXS,2026-06-12 19:22:05,2026-06-12 19:22:05,2026-06-12 19:22:05,0.0,62.0,12.27,54.01,WEAK
FLR-058,SoLEXS,2026-06-12 19:23:05,2026-06-12 19:23:05,2026-06-12 19:23:05,0.0,57.0,12.27,54.01,WEAK
FLR-059,SoLEXS,2026-06-12 19:27:16,2026-06-12 19:27:16,2026-06-12 19:27:16,0.0,55.0,12.27,54.01,WEAK
FLR-060,SoLEXS,2026-06-12 19:29:29,2026-06-12 19:29:29,2026-06-12 19:29:29,0.0,58.0,12.27,54.01,WEAK
FLR-061,SoLEXS,2026-06-12 19:29:33,2026-06-12 19:29:33,2026-06-12 19:29:33,0.0,57.0,12.27,54.01,WEAK
FLR-062,SoLEXS,2026-06-12 19:29:35,2026-06-12 19:29:35,2026-06-12 19:29:35,0.0,56.0,12.27,54.01,WEAK
FLR-063,SoLEXS,2026-06-12 19:30:25,2026-06-12 19:30:25,2026-06-12 19:30:25,0.0,59.0,12.27,54.01,WEAK
FLR-064,SoLEXS,2026-06-12 19:31:18,2026-06-12 19:31:18,2026-06-12 19:31:18,0.0,56.0,12.27,54.01,WEAK
FLR-065,SoLEXS,2026-06-12 19:32:38,2026-06-12 19:32:38,2026-06-12 19:32:38,0.0,59.0,12.27,54.01,WEAK
FLR-066,SoLEXS,2026-06-12 19:32:56,2026-06-12 19:32:56,2026-06-12 19:32:56,0.0,55.0,12.27,54.01,WEAK
FLR-067,SoLEXS,2026-06-12 19:33:17,2026-06-12 19:33:17,2026-06-12 19:33:17,0.0,55.0,12.27,54.01,WEAK
FLR-068,SoLEXS,2026-06-12 19:34:00,2026-06-12 19:34:00,2026-06-12 19:34:00,0.0,56.0,12.27,54.01,WEAK
FLR-069,SoLEXS,2026-06-12 19:35:24,2026-06-12 19:35:24,2026-06-12 19:35:24,0.0,57.0,12.27,54.01,WEAK
FLR-070,SoLEXS,2026-06-12 19:36:06,2026-06-12 19:36:06,2026-06-12 19:36:06,0.0,57.0,12.27,54.01,WEAK
FLR-071,SoLEXS,2026-06-12 19:36:11,2026-06-12 19:36:11,2026-06-12 19:36:11,0.0,70.0,12.27,54.01,WEAK
FLR-072,SoLEXS,2026-06-12 19:36:16,2026-06-12 19:36:16,2026-06-12 19:36:16,0.0,56.0,12.27,54.01,WEAK
FLR-073,SoLEXS,2026-06-12 19:36:33,2026-06-12 19:36:33,2026-06-12 19:36:33,0.0,55.0,12.27,54.01,WEAK
FLR-074,SoLEXS,2026-06-12 19:37:23,2026-06-12 19:37:23,2026-06-12 19:37:23,0.0,55.0,12.27,54.01,WEAK
FLR-075,SoLEXS,2026-06-12 19:37:39,2026-06-12 19:37:39,2026-06-12 19:37:39,0.0,56.0,12.27,54.01,WEAK
FLR-076,SoLEXS,2026-06-12 19:37:54,2026-06-12 19:37:54,2026-06-12 19:37:54,0.0,55.0,12.27,54.01,WEAK
FLR-077,SoLEXS,2026-06-12 19:39:34,2026-06-12 19:39:34,2026-06-12 19:39:34,0.0,56.0,12.27,54.01,WEAK
FLR-078,SoLEXS,2026-06-12 19:39:41,2026-06-12 19:39:41,2026-06-12 19:39:41,0.0,61.0,12.27,54.01,WEAK
FLR-079,SoLEXS,2026-06-12 19:39:55,2026-06-12 19:39:55,2026-06-12 19:39:55,0.0,59.0,12.27,54.01,WEAK
FLR-080,SoLEXS,2026-06-12 19:40:11,2026-06-12 19:40:11,2026-06-12 19:40:11,0.0,60.0,12.27,54.01,WEAK
FLR-081,SoLEXS,2026-06-12 19:40:20,2026-06-12 19:40:20,2026-06-12 19:40:20,0.0,55.0,12.27,54.01,WEAK
FLR-082,SoLEXS,2026-06-12 19:40:44,2026-06-12 19:40:44,2026-06-12 19:40:44,0.0,55.0,12.27,54.01,WEAK
FLR-083,SoLEXS,2026-06-12 19:40:58,2026-06-12 19:40:58,2026-06-12 19:40:58,0.0,61.0,12.27,54.01,WEAK
FLR-084,SoLEXS,2026-06-12 19:41:50,2026-06-12 19:41:50,2026-06-12 19:41:50,0.0,56.0,12.27,54.01,WEAK
FLR-085,SoLEXS,2026-06-12 19:41:57,2026-06-12 19:41:57,2026-06-12 19:41:57,0.0,58.0,12.27,54.01,WEAK
FLR-086,SoLEXS,2026-06-12 19:43:16,2026-06-12 19:43:16,2026-06-12 19:43:16,0.0,55.0,12.27,54.01,WEAK
FLR-087,SoLEXS,2026-06-12 19:46:29,2026-06-12 19:46:29,2026-06-12 19:46:29,0.0,58.0,12.27,54.01,WEAK
FLR-088,SoLEXS,2026-06-12 19:47:29,2026-06-12 19:47:29,2026-06-12 19:47:29,0.0,58.0,12.27,54.01,WEAK
FLR-089,SoLEXS,2026-06-12 19:52:50,2026-06-12 19:52:50,2026-06-12 19:52:50,0.0,57.0,12.27,54.01,WEAK
